density,batch,Position,individual,OG-size,size,magnitude ,type
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t2,35,91,,faeces
64,64.5,top,t2,35,91,,faeces
64,64.5,top,t2,20,52,,faeces
64,64.5,top,t2,22,57.2,,faeces
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t2,10,26,,faeces
64,64.5,top,t2,15,39,,faeces
64,64.5,top,t2,15,39,,faeces
64,64.5,top,t2,20,52,,faeces
64,64.5,top,t2,34,88.4,,faeces
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t3,17,44.2,,faeces
64,64.5,top,t3,25,65,,faeces
64,64.5,top,t3,25,65,,faeces
64,64.5,top,t3,28,72.8,,faeces
64,64.5,top,t3,12,31.2,,faeces
64,64.5,top,t3,28,72.8,,faeces
64,64.5,top,t3,33,85.8,,faeces
64,64.5,top,t3,28,72.8,,faeces
64,64.5,top,t3,10,26,,faeces
64,64.5,top,t3,30,78,,faeces
64,64.5,top,t3,25,65,,faeces
64,64.5,top,t3,35,91,,faeces
64,64.5,top,t3,35,91,,faeces
